TMDB ID;poster path;Action;Adventure;Animation;Comedy;Crime;Documentary;Drama;Family;Fantasy;History;Horror;Music;Mystery;Romance;Science Fiction;TV Movie;Thriller;War;Western
337167;/jjPJ4s3DWZZvI4vw8Xfi4Vqa1Q8.jpg;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
269149;/sM33SANp9z6rXW8Itn7NnG1GOEs.jpg;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
299536;/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg;1;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
354912;/eKi8dIrr8voobbaGzDpe8w0PVbC.jpg;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
427641;/30oXQKwibh0uANGMs0Sytw3uN22.jpg;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
284054;/uxzzxijgPIY7slzFvMotPv8wjKA.jpg;1;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
321612;/tWqifoYuwLETmmasnGHO7xBjEtt.jpg;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0
181808;/kOVEVeg59E0wsnXmF9nrh6OmWII.jpg;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
447332;/nAU74GmpUk7t5iklEp3bufwDq4n.jpg;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;0
198663;/coss7RgL0NH6g4fC2s5atvf3dFO.jpg;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0
333339;/pU1ULUq8D3iRxl1fdX2lZIzdHuI.jpg;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
118340;/y31QB9kn3XSudA15tV7UWQ9XLuW.jpg;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
24428;/cezWGskPY5x7GaglTTRN4Fugfb8.jpg;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
119450;/2EUAUIu5lHFlkj5FRryohlH6CRO.jpg;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0
274855;/nrsx0jEaBgXq4PWo7SooSnYJTv.jpg;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
284053;/rzRwTcFvttcN1ZpX2xv4j3tSdJu.jpg;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
399055;/k4FwHlMhuRR5BISY2Gm2QZHlH5Q.jpg;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0
245891;/5vHssUeVe25bMrof1HyaPyWgaP.jpg;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
353616;/fchHLsLjFvzAFSQykiMwdF1051.jpg;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
99861;/t90Y3G8UGQp0f0DrP60wRu9gfrH.jpg;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
131631;/gj282Pniaa78ZJfbaixyLXnXEDI.jpg;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
335984;/gajva2L0rPYkEWjzgFlBXCAVBE5.jpg;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0
122917;/9zRzFJuaj0CHIOhAkcCcFTvyu2X.jpg;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
268896;/v5HlmJK9bdeHxN2QhaFP1ivjX3U.jpg;1;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
347882;/wridRvGxDqGldhzAIh3IcZhHT5F.jpg;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0
297762;/imekS7f1OuHyUP2LAiTEM0zBzUz.jpg;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
10195;/bIuOWTtyFPjsFDevqvF3QrD1aun.jpg;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
281338;/3vYhLLxrTtZLysXtIWktmd57Snv.jpg;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0
353486;/bXrZ5iHBEjH7WMidbUDQ0U2xbmr.jpg;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
262500;/6w1VjTPTjTaA5oNvsAg0y4H6bou.jpg;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
336843;/7GgZ6DGezkh3szFdvskH5XD4V0t.jpg;1;1;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0
76338;/bnX5PqAdQZRXSw3aX3DutDcdso5.jpg;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
141052;/eifGNCSDuxJeS1loAXil5bIGgvC.jpg;1;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
98566;/oDL2ryJ0sV2bmjgshVgJb3qzvwp.jpg;1;1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
210577;/gdiLTof3rbPDAmPaCf4g6op46bj.jpg;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0
449443;/AfybH6GbGFw1F9bcETe2yu25mIE.jpg;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
87101;/5JU9ytZJyR3zmClGmVm9q4Geqbd.jpg;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
254128;/qey0tdcOp9kCDdEZuJ87yE3crSe.jpg;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
194662;/rSZs93P0LLxqlVEbI001UKoeCQC.jpg;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
228150;/pfte7wdMobMF4CVHuOxyu6oqeeA.jpg;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0
198184;/saF3HtAduvrP9ytXDxSnQJP3oqx.jpg;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
381719;/2yjSvEDuM3rLDng40erLsWkQRfn.jpg;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
359940;/vgvw6w1CtcFkuXXn004S5wQsHRl.jpg;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
