title;imdb ID;TMDB ID;poster path;genre count;Genres
Fifty Shades Freed;tt4477536;337167;/jjPJ4s3DWZZvI4vw8Xfi4Vqa1Q8.jpg;2;~Drama~Romance  
Zootopia;tt2948356;269149;/sM33SANp9z6rXW8Itn7NnG1GOEs.jpg;4;~Animation~Adventure~Family~Comedy  
Avengers: Infinity War;tt4154756;299536;/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg;4;~Adventure~Science Fiction~Fantasy~Action  
Coco;tt2380307;354912;/eKi8dIrr8voobbaGzDpe8w0PVbC.jpg;4;~Adventure~Comedy~Family~Animation  
Rampage;tt2231461;427641;/30oXQKwibh0uANGMs0Sytw3uN22.jpg;3;~Action~Adventure~Science Fiction  
Black Panther;tt1825683;284054;/uxzzxijgPIY7slzFvMotPv8wjKA.jpg;4;~Action~Adventure~Fantasy~Science Fiction  
Beauty and the Beast;tt2771200;321612;/tWqifoYuwLETmmasnGHO7xBjEtt.jpg;3;~Family~Fantasy~Romance  
Star Wars: The Last Jedi;tt2527336;181808;/kOVEVeg59E0wsnXmF9nrh6OmWII.jpg;3;~Fantasy~Adventure~Science Fiction  
A Quiet Place;tt6644200;447332;/nAU74GmpUk7t5iklEp3bufwDq4n.jpg;4;~Drama~Horror~Thriller~Science Fiction  
The Maze Runner;tt1790864;198663;/coss7RgL0NH6g4fC2s5atvf3dFO.jpg;4;~Action~Mystery~Science Fiction~Thriller  
Ready Player One;tt1677720;333339;/pU1ULUq8D3iRxl1fdX2lZIzdHuI.jpg;3;~Adventure~Science Fiction~Action  
Guardians of the Galaxy;tt2015381;118340;/y31QB9kn3XSudA15tV7UWQ9XLuW.jpg;3;~Action~Science Fiction~Adventure  
The Avengers;tt0848228;24428;/cezWGskPY5x7GaglTTRN4Fugfb8.jpg;3;~Science Fiction~Action~Adventure  
Dawn of the Planet of the Apes;tt2103281;119450;/2EUAUIu5lHFlkj5FRryohlH6CRO.jpg;4;~Science Fiction~Action~Drama~Thriller  
Geostorm;tt1981128;274855;/nrsx0jEaBgXq4PWo7SooSnYJTv.jpg;3;~Action~Science Fiction~Thriller  
Thor: Ragnarok;tt3501632;284053;/rzRwTcFvttcN1ZpX2xv4j3tSdJu.jpg;3;~Action~Adventure~Fantasy  
The Shape of Water;tt5580390;399055;/k4FwHlMhuRR5BISY2Gm2QZHlH5Q.jpg;3;~Drama~Fantasy~Romance  
John Wick;tt2911666;245891;/5vHssUeVe25bMrof1HyaPyWgaP.jpg;2;~Action~Thriller  
Pitch Perfect 3;tt4765284;353616;/fchHLsLjFvzAFSQykiMwdF1051.jpg;2;~Comedy~Music  
Avengers: Age of Ultron;tt2395427;99861;/t90Y3G8UGQp0f0DrP60wRu9gfrH.jpg;3;~Action~Adventure~Science Fiction  
The Hunger Games: Mockingjay - Part 1;tt1951265;131631;/gj282Pniaa78ZJfbaixyLXnXEDI.jpg;3;~Science Fiction~Adventure~Thriller  
Blade Runner 2049;tt1856101;335984;/gajva2L0rPYkEWjzgFlBXCAVBE5.jpg;3;~Mystery~Science Fiction~Thriller  
The Hobbit: The Battle of the Five Armies;tt2310332;122917;/9zRzFJuaj0CHIOhAkcCcFTvyu2X.jpg;3;~Action~Adventure~Fantasy  
Pacific Rim: Uprising;tt2557478;268896;/v5HlmJK9bdeHxN2QhaFP1ivjX3U.jpg;4;~Action~Fantasy~Science Fiction~Adventure  
Sleight;tt4573516;347882;/wridRvGxDqGldhzAIh3IcZhHT5F.jpg;4;~Drama~Thriller~Action~Science Fiction  
Wonder Woman;tt0451279;297762;/imekS7f1OuHyUP2LAiTEM0zBzUz.jpg;3;~Action~Adventure~Fantasy  
Thor;tt0800369;10195;/bIuOWTtyFPjsFDevqvF3QrD1aun.jpg;3;~Adventure~Fantasy~Action  
